,Angle,Ank1,Kcnmb2,Ankrd55,Slc32a1,Btbd11,Arx,Dlx1,Gad2,Pvalb,Pdgfra,Nxph4,Car3,Slc17a8,Syt6,Rspo1,Lratd2,Deptor,Ndnf,Chrna2,Calb1,Sncg,Th,Gad1,Slc17a7,Neurod1,Rorb,Fezf2,Adarb2,Lamp5,Vip,Lhx6,Chodl,Fa2h,Ly86,Ly6c2,Dcn,Fgfr3,Map3k7cl,Nxph1,Pcp4,Neurod6,Nrn1,Sst,Nrgn,Ptn,Cck,Synpr,Slc6a1,Dlx6,Atp1a3,Arpp19,Npy,Cxcl14,Rab3b,Cryab,Penk,Tesc,Crh,Caln1,Kcnip1,Gm11549,Ctxn1,Car4,Nfib,Id2,Igfbp6,Itpka,Ptprd,Sv2b,Vxn,Reln,Rprml,Cnr1,Cacna2d3,Plpp4,Adcy2,Kcnip4,Sparcl1,Brinp3
1414,174.115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13,1,0,0,0,4,0,0,0,0,0,0,3,0,3,0,5,1,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,15,2,0,2,1,0,0,1,1,11,0,0,0,0,0,1,0,5,0
1415,177.829,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,9,0,0,0,0,0,1,3,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,9,1,1,0,0,0,13,3,0,0,0,2,0,0,0,0,0,28,1,0,1,1,0,0,1,4,8,0,0,0,0,0,0,1,2,0
1416,175.632,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,9,1,0,0,0,2,0,0,0,1,0,16,2,0,6,0,0,1,1,3,9,1,3,0,0,0,1,0,5,0
1417,176.858,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,2,0,0,1,13,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,9,1,0,0,1,0,8,0,1,0,0,1,0,0,0,0,0,12,3,0,2,0,0,0,0,1,4,0,1,0,0,0,0,0,2,0
1418,174.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,17,0,0,0,1,0,11,1,0,0,0,2,0,0,0,0,0,19,5,0,1,1,0,0,3,4,3,0,0,0,0,0,0,0,2,0
1419,179.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1,0,2,1,1,0,0,0,1,1,3,0
1420,178.44,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,1,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,15,2,0,0,0,0,1,0,2,5,0,1,0,0,0,0,0,4,0
1421,179.25799999999995,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,1,1,0,1,0,19,0,3,1,0,0,6,0,0,0,1,10,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0
1422,179.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,0,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0
1423,174.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,0,0,4,18,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15,1,0,0,0,0,3,3,0,0,1,0,0,0,0,2,0,27,4,0,0,0,0,0,1,3,5,0,0,0,0,0,1,0,1,0
