,Alcam,Ank1,Ankrd55,B3galt1,Cdh9,Chodl,Cux2,Dlx1,Elfn1,Fam19a2,Fezf2,Foxp2,Gad2,Galnt14,Grin3a,Grm5,Kcnip4,Kcnk2,Kcnmb2,Ldb2,Lhx6,Lingo2,Mef2c,Mpped1,Npas1,Nr2f2,Nts,Parm1,Pcdh8,Pde1a,Prox1,Pvalb,Rorb,Satb2,Sema3e,Sez6,Slc32a1,Sv2c,Syndig1,Thsd7a,Tnni3k,Unc13c
447,2,4,0,4,0,0,0,1,0,2,15,0,2,3,0,28,4,1,0,11,0,2,47,23,0,0,0,18,5,28,1,4,2,10,5,24,1,1,2,0,1,1
448,6,17,0,6,4,0,3,1,4,7,42,1,3,18,4,64,6,6,0,25,2,3,86,57,0,0,0,35,2,34,1,4,3,18,7,44,2,2,9,0,0,0
449,5,9,0,0,0,0,1,1,1,4,5,0,1,8,3,9,4,5,0,9,1,0,30,15,0,1,0,9,1,26,0,9,1,9,5,6,9,2,5,2,1,0
450,2,5,0,4,0,0,1,0,1,2,13,0,0,8,5,23,4,2,1,4,1,0,35,15,0,0,0,6,6,15,0,1,1,8,4,10,1,2,2,3,0,0
451,2,1,0,9,0,0,7,0,0,0,1,0,1,0,1,10,3,2,0,1,0,1,21,3,0,2,1,0,0,3,0,1,0,10,0,0,0,0,1,0,2,0
452,5,11,2,8,0,0,1,1,9,6,7,1,1,9,2,30,9,23,0,11,0,1,106,51,1,0,0,6,1,47,1,9,6,25,12,32,4,6,18,0,0,1
453,11,25,3,1,0,0,4,3,3,5,2,0,32,5,0,23,0,3,5,2,9,0,32,29,0,0,0,8,2,6,2,137,1,2,2,7,68,1,1,1,0,0
454,2,4,0,1,0,0,3,0,5,0,1,0,0,2,2,8,1,5,0,1,2,0,13,4,1,0,0,2,1,3,1,11,1,5,1,5,1,0,2,7,0,0
455,1,4,0,1,1,1,0,0,2,4,4,0,1,2,3,29,4,13,3,2,1,1,55,15,0,0,0,4,0,9,0,11,6,15,0,13,2,1,8,14,1,0
456,2,4,1,9,0,0,1,0,3,4,3,1,0,8,0,10,4,12,0,9,0,3,37,22,0,0,0,1,0,44,1,0,2,17,0,17,0,0,11,4,0,0
457,7,43,4,8,13,0,17,9,15,5,2,0,49,20,37,30,3,8,6,1,16,0,42,47,4,0,0,13,2,13,1,220,1,7,1,4,65,0,10,14,1,2
458,1,1,0,1,0,0,2,0,1,0,1,0,0,0,1,6,2,3,0,0,0,1,19,6,0,4,1,1,0,5,0,1,1,3,0,0,1,0,6,3,0,0
459,3,9,0,4,0,0,1,0,1,9,7,0,0,2,0,22,3,20,0,3,0,0,62,36,1,0,0,12,0,13,1,7,7,9,0,14,3,0,1,11,1,0
460,4,5,1,11,1,0,0,0,4,8,9,2,3,1,0,41,11,51,0,6,2,1,129,43,0,6,0,8,0,22,1,7,19,42,1,20,2,2,19,15,1,0
461,4,10,1,9,1,1,3,5,11,13,24,7,11,3,2,47,11,51,1,7,2,0,155,76,0,2,1,4,12,53,18,4,12,44,1,56,11,1,21,23,0,0
462,2,4,0,0,0,0,4,0,1,2,6,0,1,0,0,7,0,5,0,1,0,1,17,3,0,0,0,0,0,6,1,1,3,4,0,4,0,1,2,6,1,0
463,2,5,0,3,0,1,4,0,2,9,5,0,2,2,2,24,7,13,0,3,0,0,87,24,0,0,1,9,0,22,0,4,11,13,0,15,1,1,6,17,1,0
464,1,2,0,0,1,0,6,1,1,0,0,0,0,1,0,0,3,3,0,1,0,0,11,5,0,0,0,0,1,6,0,0,1,4,1,2,2,0,2,0,0,0
465,5,11,0,8,0,0,2,0,2,13,9,1,1,0,0,30,8,43,0,6,0,0,164,65,2,0,0,7,0,18,1,6,23,31,2,25,1,1,7,42,1,0
466,1,1,1,3,0,0,1,0,2,6,6,0,3,1,7,5,3,11,0,9,0,1,44,31,0,0,0,11,0,21,0,8,6,27,1,18,1,1,4,11,0,2
467,5,10,1,4,0,0,1,0,1,4,3,1,1,8,1,20,4,14,1,1,2,0,84,37,0,0,0,5,2,33,0,2,3,25,3,14,3,2,16,6,1,2
468,1,3,0,1,0,0,5,1,1,7,3,1,0,0,1,18,7,6,0,1,1,1,64,18,0,1,0,0,0,8,0,4,5,15,1,6,0,0,9,19,0,0
469,5,60,6,2,1,0,8,3,1,6,0,1,23,0,0,24,2,11,3,1,7,0,24,26,0,0,0,16,1,1,0,245,1,4,1,4,55,0,4,3,0,0
470,2,1,0,2,1,0,2,0,0,1,2,0,3,1,2,6,5,9,0,0,1,0,35,9,0,1,0,2,0,3,0,1,3,13,0,5,2,1,1,4,0,1
471,0,4,0,4,0,0,0,0,0,1,2,0,1,0,0,17,2,11,0,1,0,0,22,14,0,0,0,2,0,8,0,3,2,2,1,5,0,2,2,7,1,1
472,1,4,0,3,0,0,0,1,1,6,0,0,0,0,1,8,1,11,0,0,0,0,38,14,0,0,0,3,0,5,0,4,2,8,0,6,1,0,3,10,0,0
473,3,10,0,1,1,0,3,0,6,2,0,1,5,1,2,10,2,3,1,2,0,0,24,17,0,0,0,1,0,3,0,10,2,7,0,3,3,1,4,4,0,1
474,0,3,0,0,0,0,2,1,0,0,3,2,1,2,5,8,1,3,0,2,0,0,23,14,0,0,0,6,0,14,0,1,6,5,2,4,2,0,4,0,0,0
475,1,4,0,5,0,0,6,0,3,10,6,1,0,2,1,22,4,18,0,3,0,1,56,24,0,0,1,1,0,4,0,1,11,13,1,7,2,0,2,10,0,0
476,7,11,1,5,0,0,7,1,6,14,10,6,3,1,4,24,3,21,0,11,0,0,52,33,1,1,1,2,1,35,1,7,11,28,1,33,3,2,11,13,0,2
477,6,15,0,8,0,0,1,1,2,7,21,0,1,0,4,25,5,36,0,5,1,0,87,52,0,1,1,5,0,56,1,5,4,31,0,36,0,0,15,10,0,0
478,16,38,1,4,1,1,9,1,3,10,11,4,35,5,2,30,2,15,2,10,13,0,80,59,0,0,2,9,5,49,0,66,5,26,8,17,31,2,14,2,0,0
479,4,2,0,3,0,0,0,0,1,2,0,0,2,1,2,4,0,3,0,1,0,0,31,8,0,0,0,0,0,4,1,3,4,7,0,0,2,2,4,0,1,0
480,2,5,2,1,0,0,5,1,3,3,6,0,1,2,2,12,0,9,0,10,1,1,45,28,1,0,0,2,0,21,0,4,4,14,0,6,3,0,0,7,0,0
481,3,9,0,2,0,0,6,4,4,2,2,0,3,3,3,13,1,4,0,5,2,1,25,22,0,0,0,1,2,17,0,14,1,10,1,6,3,0,2,3,0,2
482,5,6,0,2,0,1,2,0,7,1,4,0,7,2,1,5,3,8,0,4,2,1,25,22,3,1,0,3,1,8,2,6,6,5,0,3,4,0,2,4,1,2
483,0,2,0,0,2,0,8,0,0,7,1,0,0,0,5,10,1,8,0,1,0,0,34,10,0,0,0,0,0,4,0,7,5,5,0,3,1,0,3,7,0,0
484,3,10,1,1,0,0,0,0,7,0,2,0,10,1,7,10,1,5,0,5,0,0,13,12,0,1,0,3,0,4,0,8,3,6,0,5,10,1,4,2,0,1
485,2,6,1,7,2,1,4,0,1,12,10,0,5,0,3,32,2,32,0,1,0,1,71,43,0,0,0,5,0,12,0,2,11,27,0,23,3,0,10,17,0,2
486,2,10,0,0,0,1,0,0,3,3,5,0,0,3,1,14,1,0,0,4,0,1,13,12,0,0,0,4,0,7,0,4,2,20,2,2,1,3,2,0,1,0
487,2,6,0,4,0,0,6,0,1,4,0,0,3,0,0,6,0,0,1,1,0,0,7,1,0,0,0,1,0,1,0,10,0,2,0,0,0,0,2,0,0,0
488,15,19,2,2,3,0,2,7,41,1,2,1,68,13,39,17,2,11,1,1,25,0,7,54,2,0,1,1,0,18,0,1,2,4,1,4,52,1,9,0,0,15
489,1,3,0,3,0,0,2,0,0,5,0,0,0,0,0,10,0,2,0,3,0,0,13,6,0,0,0,1,0,11,0,2,2,5,2,3,0,0,5,1,0,0
490,3,6,1,2,0,0,2,1,0,3,0,0,13,0,1,11,0,3,0,2,3,0,12,11,0,0,0,3,0,3,0,32,1,1,0,4,12,0,2,3,0,0
491,22,34,1,3,0,1,13,5,3,12,3,4,33,0,1,25,1,13,3,3,12,0,40,32,1,0,0,12,0,9,2,112,3,7,2,8,55,1,5,2,0,0
