"cellID","x","y","z","area","layerData","experiment"
"Cell_267",-1.94821166328254,-0.676360559784982,0,0.000676,0,"smFISHv"
"Cell_268",-1.80235800204903,-0.7945053065819,0,0.001036,0,"smFISHv"
"Cell_269",-1.90497366600535,-0.595329550273666,0,0.001136,0,"smFISHv"
"Cell_270",-1.99897865225542,-0.850451486508522,0,0.001932,0,"smFISHv"
"Cell_271",-1.90326660751308,-0.39259815331309,0,0.000312,0,"smFISHv"
"Cell_272",-1.91397768490755,-0.794751306455717,0,0.000636,0,"smFISHv"
"Cell_273",-1.82318736073748,-0.889781927439657,0,0.001016,0,"smFISHv"
"Cell_274",-1.86002366739635,-0.819595595764642,0,0.000592,0,"smFISHv"
"Cell_275",-1.82522846460935,-0.750143455358758,0,0.000496,0,"smFISHv"
"Cell_276",-1.88248286417313,-0.892657722552309,0,0.001036,0,"smFISHv"
"Cell_277",-1.85199077188,-0.843920559211973,0,0.000596,0,"smFISHv"
"Cell_278",-1.95357683925112,-0.1466956479177,0,0.00136,0,"smFISHv"
"Cell_279",-2.0319736714081,-0.722846588812561,0,0.000756,0,"smFISHv"
"Cell_280",-1.84493491393342,-0.795781215974196,0,0.000632,0,"smFISHv"
"Cell_281",-1.94651509006595,-0.758530841104786,0,0.000168,0,"smFISHv"
"Cell_282",-1.99564260982963,-0.822879365718852,0,0.000432,0,"smFISHv"
"Cell_283",-2.00114049537977,-0.885603616442116,0,0.000172,0,"smFISHv"
"Cell_284",-1.97366334697531,-0.212389155341609,0,0.000256,0,"smFISHv"
"Cell_285",-1.80741768997873,-0.654585366284794,0,0.000408,0,"smFISHv"
"Cell_286",-1.9593755014166,-0.836912707929862,0,0.000988,0,"smFISHv"
"Cell_287",-1.80875568088,-0.366797627772808,0,0.000208,0,"smFISHv"
"Cell_288",-1.93456048913289,-0.629384063436511,0,0.001136,0,"smFISHv"
"Cell_289",-1.82490275396462,-0.630958656096972,0,0.000572,0,"smFISHv"
"Cell_290",-1.84838382281412,-0.644370747326917,0,0.000388,0,"smFISHv"
"Cell_291",-1.98560607658452,-0.225173875341624,0,0.000744,0,"smFISHv"
"Cell_292",-1.97607228301325,-0.698322565697032,0,0.000504,0,"smFISHv"
"Cell_293",-1.98750300098012,-0.582488785522474,0,0.001004,0,"smFISHv"
"Cell_294",-1.9760844993748,-0.752909221138504,0,0.000492,0,"smFISHv"
"Cell_295",-1.96273584571156,-0.594107313034531,0,0.000128,0,"smFISHv"
"Cell_296",-1.84913384053609,-0.730961622915183,0,0.00046,0,"smFISHv"
"Cell_297",-1.83332889745007,-0.672816078011066,0,0.000548,0,"smFISHv"
"Cell_298",-1.88371166576794,-0.809848707430579,0,0.000504,0,"smFISHv"
"Cell_299",-1.90988074264508,-0.750217849357229,0,0.000472,0,"smFISHv"
"Cell_300",-2.0293594208192,-0.659069640841658,0,0.000748,0,"smFISHv"
"Cell_301",-1.93648583102272,-0.576422173807445,0,0.001016,0,"smFISHv"
"Cell_302",-2.030079849606,-0.152651863406469,0,0.00058,0,"smFISHv"
"Cell_303",-1.95837728113221,-0.410111081254471,0,0.000272,0,"smFISHv"
"Cell_304",-1.97026492685988,-0.76919071492326,0,0.000692,0,"smFISHv"
"Cell_305",-1.9939327393325,-0.743128014222029,0,0.000272,0,"smFISHv"
"Cell_306",-2.00726699991074,-0.820039709921661,0,0.000484,0,"smFISHv"
"Cell_307",-1.8564635673173,-0.445442870858162,0,0.000296,0,"smFISHv"
"Cell_308",-1.92958835806492,-0.773424764756413,0,0.001016,0,"smFISHv"
"Cell_309",-2.01848439896173,-0.682035009419143,0,0.000532,0,"smFISHv"
"Cell_310",-2.03494903956547,-0.738943333281679,0,0.000212,0,"smFISHv"
"Cell_311",-1.9520563217903,-0.513832154726687,0,0.000932,0,"smFISHv"
"Cell_312",-2.00523632725408,-0.6848373134288,0,0.001,0,"smFISHv"
"Cell_313",-2.02747926865714,-0.520862583850632,0,0.000532,0,"smFISHv"
"Cell_314",-1.80395835639054,-0.674851294453041,0,0.000296,0,"smFISHv"
"Cell_315",-1.92280123888675,-0.604841029420427,0,0.000936,0,"smFISHv"
"Cell_316",-2.03428886981952,-0.602570866001714,0,0.000168,0,"smFISHv"
"Cell_317",-1.83233910738434,-0.812100773219614,0,0.001088,0,"smFISHv"
"Cell_318",-2.01263433192378,-0.457491189012589,0,0.00074,0,"smFISHv"
"Cell_319",-1.91901883870302,-0.855626032979938,0,0.000768,0,"smFISHv"
"Cell_320",-1.89980006670444,-0.79722055483882,0,0.000756,0,"smFISHv"
"Cell_321",-2.00037848599012,-0.333932137098915,0,0.000328,0,"smFISHv"
"Cell_322",-1.838855697615,-0.42537911263714,0,4e-04,0,"smFISHv"
"Cell_323",-1.90866998981656,-0.662225501629914,0,0.000884,0,"smFISHv"
"Cell_324",-1.98461564960506,-0.806695557945403,0,0.000616,0,"smFISHv"
"Cell_325",-1.92578854366203,-0.548465104903122,0,0.000296,0,"smFISHv"
"Cell_326",-1.84438375147614,-0.700503049271079,0,0.00056,0,"smFISHv"
"Cell_327",-1.90041053011048,-0.576194577779905,0,0.000168,0,"smFISHv"
"Cell_328",-1.99658844250387,-0.613243474484226,0,0.000548,0,"smFISHv"
"Cell_329",-1.93035962852286,-0.695606679373018,0,0.000224,0,"smFISHv"
"Cell_330",-1.9723298164866,-0.661334784060866,0,0.001048,0,"smFISHv"
