cellID,x,y,z,area,layerData,experiment
Cell_193,-1.651654443,-0.191272935,0.004391414,0.000280317,0,MouseVISp_AI
Cell_194,-1.928475337,-0.756509963,0.004311151,0.000296142,0,MouseVISp_AI
Cell_195,-1.665650359,-1.143158532,0.004250796,0.000248669,0,MouseVISp_AI
Cell_196,-2.366904278,-0.86823667,0.004258697,0.0003617,0,MouseVISp_AI
Cell_197,-1.486503677,-1.489698906,0.004260525,0.000203456,0,MouseVISp_AI
Cell_198,-2.176592849,-0.841211939,0.004248108,0.000300663,0,MouseVISp_AI
Cell_199,-1.522210295,-1.1789962,0.004269986,0.000273536,0,MouseVISp_AI
Cell_200,-1.52188479,-0.297003528,0.004209747,0.000226062,0,MouseVISp_AI
Cell_201,-2.432965108,-1.052468308,0.004235287,0.000415955,0,MouseVISp_AI
Cell_202,-2.055424349,-0.740613662,0.004160687,0.000273536,0,MouseVISp_AI
Cell_203,-1.128907072,-1.536008807,0.004229068,0.000445343,0,MouseVISp_AI
Cell_204,-2.025097178,-0.597610412,0.004305549,0.000357179,0,MouseVISp_AI
Cell_205,-1.107480618,-1.423849381,0.004211353,0.000232844,0,MouseVISp_AI
Cell_206,-1.901224949,-0.716552239,0.004215667,0.00043404,0,MouseVISp_AI
Cell_207,-2.060778661,-1.505681781,0.004238568,0.000280317,0,MouseVISp_AI
Cell_208,-2.3071083,-1.076473346,0.004256528,0.000350397,0,MouseVISp_AI
Cell_209,-1.869888165,-0.283474732,0.004271574,0.000393349,0,MouseVISp_AI
Cell_210,-1.504572197,-1.146690568,0.004203278,0.00047247,0,MouseVISp_AI
Cell_211,-1.331292499,-1.477454672,0.00427634,0.00054481,0,MouseVISp_AI
Cell_212,-1.881538767,-0.25403951,0.004386777,0.000296142,0,MouseVISp_AI
Cell_213,-1.621776219,-0.56809904,0.00436736,0.000420476,0,MouseVISp_AI
Cell_214,-2.448094817,-0.55822697,0.004276972,0.000463428,0,MouseVISp_AI
Cell_215,-2.378085827,-1.225272673,0.004389392,0.000343615,0,MouseVISp_AI
Cell_216,-1.472358856,-1.169566722,0.004337795,0.00036396,0,MouseVISp_AI
Cell_217,-1.719796532,-1.353219572,0.00431201,0.000255451,0,MouseVISp_AI
Cell_218,-1.401971439,-0.982549518,0.004306193,0.00047247,0,MouseVISp_AI
Cell_219,-2.313740162,-0.780517944,0.004361784,0.000300663,0,MouseVISp_AI
Cell_220,-2.536110019,-0.793930055,0.004299581,0.000198935,0,MouseVISp_AI
Cell_221,-1.24908948,-1.888351861,0.004299993,0.000429519,0,MouseVISp_AI
Cell_222,-1.54288101,-0.412001197,0.004284409,0.000280317,0,MouseVISp_AI
Cell_223,-1.147772487,-1.846747683,0.004235157,0.000350397,0,MouseVISp_AI
Cell_224,-1.422660688,-1.792890615,0.004263162,0.0003617,0,MouseVISp_AI
Cell_225,-1.882772145,-0.940138665,0.004339538,0.000282578,0,MouseVISp_AI
Cell_226,-1.082126765,-1.834668598,0.004347794,0.000517683,0,MouseVISp_AI
Cell_227,-1.554157884,-1.270766454,0.00436739,0.000513162,0,MouseVISp_AI
Cell_228,-1.717294974,-1.760831018,0.004338677,0.000377524,0,MouseVISp_AI
Cell_229,-1.945128864,-0.83437524,0.004362061,0.000321009,0,MouseVISp_AI
Cell_230,-1.091524179,-1.703551904,0.004339975,0.000420476,0,MouseVISp_AI
Cell_231,-2.457349665,-1.019279362,0.004321921,0.000352657,0,MouseVISp_AI
Cell_232,-1.977721024,-0.845660169,0.004274656,0.000196674,0,MouseVISp_AI
